model,compression_ratio,throughput_compress_MBps,throughput_decompress_MBps,original_size,compressed_size,time_compress_s,time_decompress_s,experiment,checkpoint_path,updated_at_utc
cms_experiment_final_model_fp32,1.000896,0.837258,0.873511,49920000,49875300,59.623186,57.148648,cms_experiment,/app/experiments/cms_experiment/experiments/cms_experiment/cms_experiment_final_model_fp32.pt,2026-04-26T08:02:38.159765+00:00
cms_experiment_final_model_fp32_128dm_mambav1,,,,,,,,,,
cms_experiment_final_model_fp32_160MinGRU,,,,,,,,,,
cms_experiment_final_model_fp32_256MinGRU,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_128_2,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_128_2_20ep,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_30epoch,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_64_1_20ep,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_64_2_20ep,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_64_4_20ep,,,,,,,,,,
cms_experiment_final_model_fp32_mambav1_80_1_20,,,,,,,,,,
cms_experiment_final_model_fp32_mambav2,,,,,,,,,,
cms_experiment_final_model_fp32_mambav2_64_1_20ep,,,,,,,,,,
cms_experiment_boa_main,0.987075,0.862428,0.900028,49920000,50573660,57.883064,55.464920,cms_experiment,/app/experiments/cms_experiment/experiments/cms_experiment/checkpoints/boa/cms_experiment_boa_main.pt,2026-04-26T09:23:29.817707+00:00
cms_experiment_hydra_main,4.150355,4.825376,5.458388,49920000,12027888,10.345307,9.145557,cms_experiment,/app/experiments/cms_experiment/checkpoints/hydra/cms_experiment_hydra_main.pt,2026-04-26T12:01:07.057059+00:00
cms_experiment_final_model_fp16,4.131409,0.846789,0.882449,49920000,12083044,58.952103,56.569869,cms_experiment,experiments/cms_experiment/cms_experiment_final_model_fp16.pt,2026-04-26T11:32:29.875947+00:00
